Station,Station.Id,State.Code,State.Name,Network.Co,Network.Na,Elevation,Latitude,Longitude,County.Nam,County.Cod,Start.Date,End.Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station Name,Southness,Lancover_code,Landcover_detail,Koppen_code_ID,Koppen_code_name,KoppenClass,elevation prompt,southness prompt,koppen prompt,landcover prompt
Adin Mtn,301,CA,CALIFORNIA,SNTL,SNOTEL,6190,41.23583,-120.79192,Modoc,49,10/1/1983,1/1/2100,356.22595,5.34263,41.24687255,-120.7854486,0.012799106,Adin Mtn,0.27308443,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Aneroid Lake 2,302,OR,OREGON,SNTL,SNOTEL,7400,45.21328,-117.19258,Wallowa,63,10/1/1980,1/1/2100,243.40767,4.92824,45.22411432,-117.1796522,0.016867477,Aneroid Lake #2,0.064188356,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Apishapa,303,CO,COLORADO,SNTL,SNOTEL,10027,37.33067,-105.06766,Huerfano,55,10/1/1979,1/1/2100,102.64851,6.75707,37.32644852,-105.0567158,0.011730103,Apishapa,-0.237260255,43,Mixed Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Arbuckle Mtn,304,OR,OREGON,SNTL,SNOTEL,5770,45.19085,-119.25392,Morrow,49,10/1/1978,1/1/2100,140.05367,2.62026,45.16729658,-119.231226,0.03270752,Arbuckle Mtn,-0.124565305,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has low elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Atlanta Summit,306,ID,IDAHO,SNTL,SNOTEL,7580,43.7569,-115.23907,Elmore,39,10/1/1978,1/1/2100,324.15222,14.8124,43.74685309,-115.2524161,0.01670507,Atlanta Summit,-0.657922231,52,Shrub_Scrub,17,Dsa,Cold-dry_summer-hot_summer,This location has moderate elevation,This location has low southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Baker Butte,308,AZ,ARIZONA,SNTL,SNOTEL,7363,34.45654,-111.40651,Coconino,5,10/1/1965,1/1/2100,301.38187,2.95879,34.42874381,-111.3979441,0.029086141,Baker Butte,0.177753636,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Bald Mtn,309,WY,WYOMING,SNTL,SNOTEL,9380,44.8007,-107.84442,Big Horn,3,10/1/1975,1/1/2100,353.00418,13.84888,44.82639014,-107.8543165,0.027530435,Bald Mtn,0.395299608,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Baldy,310,AZ,ARIZONA,SNTL,SNOTEL,9221,33.97845,-109.50357,Apache,1,11/1/1949,1/1/2100,69.12751,7.36216,33.97420189,-109.5328769,0.029613232,Baldy,0.881405535,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Banfield Mountain,311,MT,MONTANA,SNTL,SNOTEL,5600,48.5712,-115.44573,Lincoln,53,10/1/1968,1/1/2100,357.13345,6.72606,48.57636095,-115.4389228,0.008542419,Banfield Mountain,0.228607405,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Banner Summit,312,ID,IDAHO,SNTL,SNOTEL,7040,44.30342,-115.23447,Boise,15,10/1/1979,1/1/2100,33.21365,7.6427,44.31503049,-115.2524161,0.021374442,Banner Summit,-0.219981515,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
